addr,balance
0xabb852cffc647c50cf41ffd4d72509fba279a258,10332170272156317
0xb518b80e7b53b78bf5c43cc10aeacd91a303766b,10332198156611804
0x1081f40ef2f0813ebd77aa16011084e634c2d5db,2481401147565138559
0x122a69ab2a2968a243356e80401b50e89e4dcbd4,4243422393579903
0x0be2805eb4b786369753479c0899299bd1583082,10268168677100988
0xa692e47848882a83868aa191da8443303e01015f,64426803385
0xb4df5587ca627d1f4f48151c34a2d884ef8f5e90,10332170272156317
0xaccd5f2caf76034507c4edd4b98fba61e91d8bc1,10268168677100988
0x07a1410f73dbfa19f0220712bab8e8ebc764b341,10312585440579704
0x08f5360f7c0ac45a354b8442972a25ee605c44ea,495049504950495
0x5cd8d518aa576bfefc872542f67e9fbb4690e428,10268168677100988
0xb772e527ad3a4f0d3f49f5048b55dd4c7f7f01e2,12040000000000000
0x6d50eea626caecc03f6a587e55d4d9236c2d0e89,32100000000000000
0x2bd22a89e5479664b73691e8b2e10eff758aad0d,20626355328185596
0x21e70fee23868b5c84e3cfa093990ccc1eb5d02f,10313528063004686
0x73d923358c8def832e4f7d5bc9fddb1ed5920b6a,614694447213639
0x7a592210342d526e1a56cb9223e7f8d0efcb3466,164799
0x308f10c01e2d2834bf9cbc5e3abc415451a5f170,103000000000000000000
0xd04367465c4081019c1337c93bfe54c8fd527747,1691855759944174
0x235470c7824ce2a8583c40e7c9bdc682804dcbfe,298575416209749775695
0x28259ff4db3fc94ac7b244924081f2955ef47e33,21241099159807568
0x829577842c3edeae62882ebf30cd6a5f31a15ab6,10268168677100988
0xd70d2326e7cffeceaf629928d37dfd34c7111bc4,275524059758533957735
0xd8d06134e33e921cd7a7487a3e38cdbe82564f9c,10332170272156317
0x8e3c77d6e148eeb9ccbb1c4cf030e42d3f609888,10332170272156317
0x92d91e003ec4f15c36dc62949bd0b6eb66decfec,10268168677100988
0x50f1208ecc1147d3b92192f423b5163b1bed31d6,310736000000000000000
0xe11e83192315a38d591865624a0f186d7d143869,65025238627964
0x2ef7950223f49f6fbe71c8db48c43a4170dcf4ca,681686771009869404
0x36c0c64f8d44b2b1c50e76d4b94f5b9e6a3c2ec3,694000000000000000
0xd36c6dd3aedcaf4195dcf86aa5bcec43ea069d95,10268168677100988
0xee55a01074cc349795bc4a71ddb2aa0df3e46e74,569537887943
0x14b00ffea97a2c4f831e8d41318f363261d395c4,9969095803010668
0x16c30df542fcc6ac9d898f3b04ca06f88874f4dd,10313029608214536
0xdb1d085db5c40bebe8dd3f4ff66afa848602423a,10268168677100988
0xfcc590d3033129d2285620dba0d2960e5197ce89,2193201076662348
0x4d7f64a5d77e33bdc2a1c96b0795d5c511d258c7,333279708973000000
0xbfabba641941642a046d060de0afcb7c6ca05c46,10332170272156317
0x7a264bdfb706f4299822e21da7b19cf0822f0afc,1
0x26554809c4c63ee939a78edb189d5c4508f8d4b1,10313528063004686
0x2b66aff7b01000df6d988ed9c920fd8db97345cc,19940238893166605
0xca0d3e2d7d92dda2207eac4b01db0cd8a61bb0ec,624032704914766
0xd9e8d54d0b96e02293c646efc14caccbd21b0c0b,10332170272156317
0xd4c4d97ce1fd6f619b0e10f44fee3015235508fe,9893809191506331
0xaacae8ce8c46ff00a91a26a6d2b2f6415a2d9b29,9969095803010668
0x19a87700ba2784cac43d2f6146ab699325b30e68,10313029608214536
0x1bd808d6cc0a09ef1650506eb608bd4c10d8603d,8265000000000000000
0x213b57ac2cbbf92ffd13b580838879fcb29f35b9,5000
0xd7699b1c4a597d29267a91d88e5ff544f59ebc4f,333000000000000000
0xe32c340433a440a800277ca53627d99b4414345c,2440757053135282
0xe5c017a6c5769f359047440cad546cb9d189f9a2,10134641375796442
0x3c47c5b559b8c401820e2eecea596c8d7470e1ab,10308045060313030
0x3d2ddd55c3a0c42b0dff3e5c654c760f65d663e3,10268168677100988
0x569415994965489aec62b763e02a83682349734b,333000000000000000
0x0b8f4597b6d75516a2d77cfd1a4687ccba98a1b0,10313029608214536
0x01a1691ea98e647fd348fa2fd8a9b44abe947a07,10312531153424385
0xe77f789746f2ca04751e34d219214e8150a405e7,999664210946068
0x62f58fd7942a94b5854027f06b3a10fdc5fc5ce7,6778985146047254
0x1b59c93afc08423ab159b14fafd0bee7210e91e7,3451000000000000000
0x30a44190b865bcf1b3be75d892f00563a99ad83a,103451000000000000000
0x3ed22ee9dfe18807f74fc099bff75a8e43df6090,10332170272156317
0x4c24b5bce975e9a32cb0c9b8664e051339ef2586,614694447213639
0x64a213e20487a2b8ff1512a70f81493fc527fd78,72387505238810
0x74c1babf5da6caca141b15ee7ed1d81c83ade5a0,6579603229987041
0x802fb80a1844b986b3ebadad804ee11f84c8cd5b,10268168677100988
0x7184cad5067e8579ceece2b4dca82831dcb9981d,225044966
0x74f8673d2d6996ca44bb3c6dc24a3c55dc5659f0,20036766025321504
0x7d0dd89eddac316d1a9ff932f746e3db31427f99,10268168677100988
0x7e80278f48ad1c56e5eacd197a7d31bc4e7615f4,103131292991725650483
0x9367c27fb007430a71e424fdd6cc3fe2af1d16b0,333000000000000000
0x9846bc02f1b2f228c7a03c91b867da55f01cb0a3,1023643572636
0x9966b36ada6f2929a366bebe0b86b2b6e5b1fba1,10332170272156317
0x543a235a9515b2b10489bccd1a0287f34df5848c,674938719524695401
0x65e44324f5a4edb9fa333b1e0185975641cd5029,11561658857541622
0xf0d8444b98fd316d6fa97ef6d9501f457e72656f,10332170272156317
0x2585b162e51595e80dcecaeacc7a867f1a43944a,29907287409032002
0x28df321d9885a28cfd8a4cdbd249604c30e5ff05,9969218366890524
0x2aec5ad8692e377302266e625be71aaeb46bb68a,20626355328185596
0x357953836feeb9a7934645422bc5406ce77be91b,148000000000000000
0xbee20b10395a0fe17005d3465731537e6cf317dd,7724945889243346
0xc063ebd91222b8f4862621d6014cf90e9579f495,10332170272156317
0x7e09c67fb77681c9bb9c15cb85489d170e5d0e41,206093000000000000000
0x8338378ef0d36e491e5129cc0be9d42f2b69c1d3,10332170272156317
0x4bae7711f33e3beb0577a0f0d1d6ee56c431b556,27988270049208044
0x562b83b752abf4cfc15ba88ed4b786f503823dc2,20663941780480511
0x60dc8b8961ff1e021535733487bac7457b8a3c5f,10268168677100988
0x60e4231806a576087f725b2390e0f3eafcb4b3f1,333000000000000000
0xbd40fe1ddea0057d469b1c1ac74637279f9056f5,10332170272156317
0xdfdef59b9c42bf2f48c249ace22eb169b0d308ea,10332170272156317
0xe400ac1637e721ca9b79895a13080e8176aa9568,10332170272156317
0xe6a1144b1c42cf79cac48159339f21894d0efa06,10332170272156317
0xc7554ecf7e75299deda9c66a19781e174894f79a,10332170272156317
0xcdfd7819c72e4b6420d3ca36a6b21ab086e7bdd0,5575803529469210
0x7559f3c02b878108ef930b5650d58fe97141615c,1030023952962
0xcf1f401d481c6785dc5a27c1de82083505a22afa,10332198085933607
0xd460056fd946b6a3f0240e15e7732016fbe1eb36,1709533662672931
0xd562f90fb7bcd0cfc18411eefc125c70447f6210,10332198156611835
