addr,balance
0xb011b07ba58b2f3a1e6e2949309edf4bef266ca1,376777194508160733
0xb1eefba32d235e0ebf6637a2cbc25525949fc8b9,100000000000000000000
0xc208cbe7fe47ffdcd55501afe4b1d08aa0aff9b9,1167000000000000000000
0x0701ccba1c7a6991c6b40fde81f7cda65199273c,100754514793123079036
0x0f5deca191dde5a329d0d703ada3680c41b667f7,103450495049504950495
0x6435573aa28200a31cbc15e09a394d2c4b1a123e,1437
0x72a84b422f3575bda7e5293d2790028952bfff5f,1
0xddc54d5df1ed831f04f96587a51191e8dd38ba95,1475883787983213142592
0xfae996ec464845328a8def208034825694272300,103642279708973306930
0x22bbd49cd0301023ce83fcb7890162ad7c911bdd,767276460522971591
0x3cf0a8dfcaafb1c11c569861922d61cfd4ac6cb4,103451485148514851485
0x6a6763a1f3be3a59ac30e48f4409a334ec98db1a,8005558960
0x856523005bc438e8242a130e55d217db51b04984,48211170428453800000
0x8a5029c645caf8f7069679a12ab37fa5f1837b72,59650000000000000000
0xf93709765371bd09cf1b699694d865a828b287a3,592532123311050982
0x168b69a07f56f14c88ab88d0ebcafa6f5a195ca1,100000000000000000000
0x233c0da836e6502ba5f863f31a66f2b4e3029a85,31243060000050589
0x443b29e221b54f7be8c0805859f57028cff0a1ca,1
0x721101286856779a67e9aeda2357ce8768a5d443,103642279708973306930
0x807ef9d14e71699e0f8caf5fe47d2c6d56e937f9,103642279708973306930
0xc5849e4437b0597439495dfdbcef0240c64310fb,100000000000000000000
0xc7ca8fcaf7b1dc7516eb37b68b4fc3dc619f0ede,346752692735616154571
0xdc1658adc1db53ee7a6bac623da898670c282d09,635000000000000000000
0x04f64f4d729549e475e00bf2f72f209ca0f02cf9,743268990062595500000
0x378803d1b0b2ceeb2bb83fa713be02f509b877ab,100000000000000000000
0x499e11603962dcabcac025b2522ada9870d4317c,71322436840000000000
0x76040f85f96a2547c24d20e1594e823ea74cb090,99999999999999
0xa594994fa846d00019974ac4b53179dba1ae4784,100000000000000000000
0xc43514e4450b65f2cb7fe25e4aaded681e189f70,7502490922000000000
0xe23783eaf72e09e6fd6fa2047d4765cd384d197e,103642279708973306930
0x144c7141e03d44fca874a83a2764c803601b03c0,100000000000000000000
0x95c614216c9454a5fbdc904ba4161f5a6c696486,208065000000000000000
0xd399e4f178d269dbdad44948fdee157ca574e286,71322436840000000000
0xe633a1270a7086e1e4923835c0a5cf06893d6a01,71322436840000000000
0xfca56a3967b307532cacceaf3720be4d15ee45df,1914932998897374
0x6308fd081045711f193c53c35544f991efb71cb1,106983655260000000000
0x69faa59e22242667bdfa03c6aabee7cb6a57666c,100000000000000000000
0x0e59dd336eecc849bc90cfaad9bea7641f96c31d,268249582971556711
0x54dbf644f71b3ff02d7003d9417d152d3ffad108,22000000000000000000
0x1255727abf83d75eadeba2758bfb3b2e58b5bbe1,16705645641000000000
0x5ae39b4645e9398e6eced9375011a4d063fdedf6,8983347803000001000
0x91b16bbb4e325e46f497610c314899f37a5f092e,546000000000000000000
0xe5182cd33c038ca663989647d9ba7028a281ca22,713000000000000000000
0xe8700e02faec885bb1a3d704623211c966538f96,2005526339000000000
0x32f1c2d91a8e2a0be12be46e40a304826d04f884,561810000000000000
0x4cd93d0e1d0f6afe1c22e64cb35f68c8b4493c87,4750000000000000000
0xd4c1ff010a131ffa77ba19aba7b516805897e9e0,103642279708973306930
0x05459ee4688e4091bf7f779b7707d9351e38bf2a,206902970297029702970
0x570d9be225ad657d7bbd6ef58f15c7bedeec1017,53491827629999996000
0x7137d77fceb8905d18ad114611075149fcab91ff,3551717667
0x9fcccc7908cce78a226d77f05abe8bc488e9e263,35661218420000000000
0x7318c36d97f98514cb79a866e1ca731d9f11fc5a,103642279708973306930
0x95bed96b980b54fc3764f9d66c3709e3f57d7de7,267045945285549677474
